0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,17
1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,10
2,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,20
3,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,30
4,1,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,30
5,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
6,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
7,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
8,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
9,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,20
10,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
11,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,21
12,0,1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,20
13,1,0,0,1,0,0,0,0,0,1,0,1,1,2,1,1,29
14,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,17
15,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,3,12
16,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,3,12
17,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0,0,16
18,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0,0,16
19,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,1,27
20,0,1,0,1,0,0,0,0,1,0,2,1,1,0,0,1,18
21,0,1,0,1,0,0,0,0,1,0,2,1,1,0,0,1,16
22,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,1,16
23,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,22
24,1,0,0,2,1,0,0,0,1,0,0,0,1,0,1,2,26
25,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,29
26,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,1,18
27,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,13
28,1,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,19
29,1,0,0,0,0,1,1,1,1,0,0,1,2,0,0,1,19
30,1,0,0,0,0,1,1,1,1,0,0,1,2,0,0,2,29
31,0,1,0,0,0,1,1,1,1,0,0,1,2,0,0,2,14
32,0,0,1,0,0,1,1,1,1,0,0,1,2,0,0,2,14
33,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,17
34,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,10
35,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,7
36,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,11
37,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,17
38,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,17
39,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,17
40,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,16
41,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,21
42,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,15
43,1,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,25
44,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,26
45,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,10
46,0,1,0,1,0,0,1,1,0,0,0,0,2,1,0,0,21
47,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,15
48,1,0,0,1,1,0,1,1,0,0,0,0,2,1,0,0,23
49,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,11
50,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,10
51,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,11
52,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,10
53,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,10
54,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,0,15
55,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,0,21
56,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,0,14
57,1,0,0,1,1,1,0,2,0,1,0,0,1,0,0,0,22
58,0,1,0,1,1,1,0,2,0,1,0,0,1,0,0,0,10
59,0,0,1,1,1,1,0,2,0,1,0,0,1,0,0,0,10
60,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,13
61,0,1,0,0,1,1,0,0,2,1,0,0,0,1,0,0,8
62,1,0,0,0,1,1,0,0,2,2,0,0,0,1,0,0,15
63,0,1,0,0,1,1,0,0,2,2,0,0,0,1,0,0,16
64,0,1,0,0,1,1,0,0,2,2,0,0,0,1,0,0,24
65,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,16
66,1,0,0,0,1,0,0,1,1,0,0,1,1,2,0,0,21
67,1,0,0,0,1,0,0,1,1,0,0,1,1,3,0,0,26
68,0,1,0,0,1,0,0,1,1,0,0,1,1,3,0,0,25
69,1,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,16
70,0,1,0,1,0,0,1,0,2,3,0,0,0,0,0,0,13
71,0,0,1,1,0,0,1,0,2,3,0,0,0,0,0,0,17
72,0,0,1,1,0,0,1,0,2,3,0,0,0,0,0,0,13
73,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,13
74,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,10
75,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,13
76,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,14
77,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,13
78,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,23
79,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,15
80,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,18
81,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,15
82,0,0,1,1,0,0,0,0,0,3,0,0,1,1,0,0,21
83,0,1,0,1,0,0,0,0,0,3,0,0,1,1,0,0,17
84,1,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,25
85,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,21
86,1,0,0,1,1,0,0,0,0,1,0,1,2,0,1,0,21
87,1,0,0,2,1,0,0,0,0,1,0,1,2,0,1,0,22
